url,description
"https://bimod.io/","Şirketin genel görünümünü, misyonunu ve temel tekliflerini sunan Bimod.io için açılış sayfası."
"https://bimod.io/contact-form-submit/","Kullanıcıların Bimod.io ekibine soru veya mesaj gönderebilecekleri iletişim formu gönderme sayfası."
"https://bimod.io/faq/","Bimod.io'nun hizmetleri ve teklifleri hakkında sık sorulan sorulara yanıtlar sağlayan Sıkça Sorulan Sorular sayfası."
"https://bimod.io/not_accredited/","Akredite olmayan kullanıcılara gösterilen sayfa, akreditasyon sürecini ve erişim sınırlamalarını açıklar, kullanıcıların başvuruları Bimod.io ekibi tarafından onaylanana kadar beklemeleri gerekir."
"https://bimod.io/bimod_endeavours/","Bimod.io'nun temel projelerini, araştırmalarını ve devam eden girişimlerini sergileyen sayfa."
"https://bimod.io/integration_to_organizations/","Bimod.io'nun çeşitli kuruluşlarla entegrasyon yetenekleri hakkında bilgi sayfası, süreçleri ve avantajları açıklıyor."
"https://bimod.io/electron_copilot_releases/","Bimod.io Electron Copilot uygulaması için sürüm bilgileri ve güncellemeler sağlayan sayfa. Electron copilot, asistanları uzaktan yönetmek için bir masaüstü uygulamasıdır ve bu sayfa yürütülebilir ikili dosyalar içerir."
"https://bimod.io/app/","Kullanıcıların mevcut hizmetlerle etkileşim kurması için merkez görevi gören Bimod.io uygulamasına erişim için ana sayfa."
"https://bimod.io/app/login/","Kullanıcıların kimlik doğrulaması yapabileceği ve hesaplarına erişebileceği Bimod.io uygulaması için giriş sayfası."
"https://bimod.io/app/logout/","Kullanıcıların hesaplarından güvenli bir şekilde çıkış yapmasını sağlayan Bimod.io uygulaması için çıkış sayfası."
"https://bimod.io/app/register/","Yeni kullanıcıların Bimod.io uygulamasında hesap oluşturmaları için kayıt sayfası."
"https://bimod.io/app/verify_email/","Kullanıcılara kayıt işlemini tamamlamak için e-posta adreslerini doğrulamaları gerektiğini bildiren sayfa."
"https://bimod.io/app/send_verification/","Kullanıcıların e-posta doğrulama bağlantısını almamışlarsa yeniden göndermelerine olanak tanıyan sayfa."
"https://bimod.io/app/forgot_password/","Kullanıcıların şifrelerini unuttukları takdirde şifre sıfırlama talebinde bulunabilecekleri sayfa."
"https://bimod.io/bmd_academy/courses/","BMD Academy için kurs listeleme sayfası, kullanıcılar için mevcut kursları görüntüler. Bu kurslar kullanıcıların platformu daha iyi anlamalarına yardımcı olmayı amaçlamaktadır."
"https://bimod.io/app/user_profile_management/profile/","Kişisel bilgileri ve tercihleri güncellemek için kullanıcı profili yönetim sayfası. Bu sayfa ayrıca kredi kartı bilgilerini ve saklanan ödeme yöntemlerini içerir."
"https://bimod.io/app/user_profile_management/billing/update/","Kullanıcıların eklenen kredi kartları gibi ödeme ayrıntılarını değiştirmeleri için fatura bilgileri güncelleme sayfası."
