url,description
"https://bimod.io/","Landing page for Bimod.io, providing an overview of the company, its mission, and key offerings."
"https://bimod.io/contact-form-submit/","Contact form submission page where users can submit inquiries or messages to the Bimod.io team."
"https://bimod.io/faq/","Frequently Asked Questions page providing answers to common questions about Bimod.io's services and offerings."
"https://bimod.io/not_accredited/","Page displayed to users who are not accredited, explaining the accreditation process and access limitations, the users need to wait until their application is approved by the Bimod.io team."
"https://bimod.io/bimod_endeavours/","Page showcasing Bimod.io's key projects, research, and ongoing initiatives."
"https://bimod.io/integration_to_organizations/","Information page about Bimod.io's integration capabilities with various organizations, explaining processes and benefits."
"https://bimod.io/electron_copilot_releases/","Page providing release information and updates for the Bimod.io Electron Copilot application. Electron copilot is a desktop application for managing the assistants remotely, and this page contains executable binaries."
"https://bimod.io/app/","Main page for accessing the Bimod.io application, serving as the hub for users to interact with available services."
"https://bimod.io/app/login/","Login page for the Bimod.io application, where users can authenticate and access their accounts."
"https://bimod.io/app/logout/","Logout page for the Bimod.io application, enabling users to securely exit their accounts."
"https://bimod.io/app/register/","Registration page for new users to create an account on the Bimod.io application."
"https://bimod.io/app/verify_email/","Page informing users to verify their email addresses to complete the registration process."
"https://bimod.io/app/send_verification/","Page allowing users to resend the email verification link if they haven't received it."
"https://bimod.io/app/forgot_password/","Page for users to request a password reset if they've forgotten their password."
"https://bimod.io/bmd_academy/courses/","Course listing page for BMD Academy, displaying available courses for users. These courses aim to help the users to understand the platform better."
"https://bimod.io/app/user_profile_management/profile/","User profile management page for updating personal information and preferences. This page also contains credit card information, stored payment methods."
"https://bimod.io/app/user_profile_management/billing/update/","Billing information update page for users to modify payment details such as added credit cards."
"https://bimod.io/app/user_settings/settings/","Settings page for users to manage personal settings and preferences within the app, and toggle on/off automated backups, and allow for bulk deletion for all data models in the danger zone within it."
"https://bimod.io/app/dashboard/","Main dashboard of the application to see the core statistics and generate insights by using AI statistics assistant."
"https://bimod.io/app/organization/create/","Create a new organization, organizations are the main data objects storing all the required logic within our app."
"https://bimod.io/app/organization/list/","List all organizations, manage them, update them, delete them."
"https://bimod.io/app/llm_core/create/","Create a new LLM core configuration, LLM cores are clients with necessary credentials for connecting to LLM models such as OpenAI GPT."
"https://bimod.io/app/llm_core/list/","List all LLM core configurations, manage, update, delete them."
"https://bimod.io/app/llm_transaction/list/","List all LLM transactions, inspect them. Transactions include costs, tax, the source of the cost and number of tokens being used."
"https://bimod.io/app/llm_transaction/auto_top_up/create/","Create an auto top-up plan for LLM transactions, automated top-up plans allow for automated balance additions for the organizations depending on certain rules."
"https://bimod.io/app/llm_transaction/auto_top_up/list/","List all auto top-up plans, manage, update, delete them."
"https://bimod.io/app/llm_transaction/transaction_invoices/list/","List all transaction invoices, invoices are generated for the transactions and balance additions, and they are used for billing purposes."
"https://bimod.io/app/llm_transaction/top_up/create/","Create a balance addition for LLM transactions, add balance, add credits. This page is the page users can add balance to their organizations"
"https://bimod.io/app/llm_transaction/top_up/transfer/","Transfer balance between organizations. The users can transfer balance between organizations in this page."
"https://bimod.io/app/user_management/add/","Add a new user to the system. This page is for inviting users to Bimod.io platform under a certain administrator, and admins can use this page to invite users."
"https://bimod.io/app/user_management/list/","List all users in the system, update them, remove them from organizations, connect them to organizations, etc."
"https://bimod.io/app/user_management/update_user_status/","Update the status of a user, activate, deactivate, suspend, etc."
"https://bimod.io/app/user_management/add_user_to_organization/","Add a user to an organization, this is used to add a user to a certain organization or organizations."
"https://bimod.io/app/user_permissions/add/","Add new user permissions to a specific user. Permissions allow users to perform certain actions on the website / Bimod.io platform."
"https://bimod.io/app/user_permissions/list/","List all user permissions for the administrated users, in this page users can see the permissions users have within an organization."
"https://bimod.io/app/user_permissions/roles/add/","Add new user role permissions and create a new user role."
"https://bimod.io/app/user_permissions/roles/list/","List all user roles and permissions, manage them, update and delete them."
"https://bimod.io/app/user_permissions/roles/manage/","Manage user roles, connect them to users or disconnect roles from users. User roles are grouped permissions to allow easier management of permissions."
"https://bimod.io/app/assistants/create/","Create a new assistant, assistants are AI assistants that can be customized for the goals and use cases of the organizations."
"https://bimod.io/app/assistants/list/","List all assistants, manage, update and delete them."
"https://bimod.io/app/multimodal_chat/chat/","Access the multimodal chat interface, have chat with complex BimodLab assistants. This is the page where users can have chat with assistants with large capabilities, such as custom functions, scripts and APIs, as well as data sources such as SQL/NoSQL databases, knowledge bases, documents, code bases, SSH file systems, media storages, ML models, browsers, etc."
